method,rule,omitted_season,n,wins,losses,win_pct,roi,units
original,baseline,2007,88,72,16,0.8181818181818182,0.15834849885996463,13.934667899676889
original,baseline,2009,89,73,16,0.8202247191011236,0.1573986989655753,14.0084842079362
original,baseline,2010,87,73,14,0.8390804597701149,0.1864697337957389,16.222866840229283
original,baseline,2011,88,72,16,0.8181818181818182,0.1567104938505639,13.790523458849623
original,baseline,2012,84,68,16,0.8095238095238095,0.14106850048667594,11.849754040880779
original,baseline,2013,85,70,15,0.8235294117647058,0.15624520622891833,13.280842529458058
original,baseline,2014,84,69,15,0.8214285714285714,0.15153385502305705,12.728843821936792
original,baseline,2015,88,72,16,0.8181818181818182,0.1501622547014819,13.214278413730407
original,baseline,2016,86,71,15,0.8255813953488372,0.16406056564402197,14.10920864538589
original,baseline,2017,85,72,13,0.8470588235294118,0.19407155724226466,16.496082365592496
original,baseline,2018,85,70,15,0.8235294117647058,0.13609767682379043,11.568302530022185
original,baseline,2019,84,69,15,0.8214285714285714,0.15463661873125428,12.98947597342536
original,baseline,2020,85,69,16,0.8117647058823529,0.14403059103436378,12.242600237920922
original,baseline,2021,86,72,14,0.8372093023255814,0.17706552174785253,15.227634870315317
original,baseline,2022,88,73,15,0.8295454545454546,0.1652489274264729,14.541905613529615
original,baseline,2023,85,69,16,0.8117647058823529,0.14762771062585603,12.548355403197762
original,baseline,2024,85,70,15,0.8235294117647058,0.15472943561560132,13.152002027326112
original,baseline,2025,85,71,14,0.8352941176470589,0.17469167371636846,14.84879226589132
original,preseason_wins_ge2_fail_closed,2007,56,51,5,0.9107142857142857,0.2413330248236094,13.514649390122127
original,preseason_wins_ge2_fail_closed,2009,56,51,5,0.9107142857142857,0.23854608287339593,13.358580640910173
original,preseason_wins_ge2_fail_closed,2010,54,51,3,0.9444444444444444,0.28838820876302323,15.572963273203253
original,preseason_wins_ge2_fail_closed,2011,55,50,5,0.9090909090909091,0.2389203616695199,13.140619891823595
original,preseason_wins_ge2_fail_closed,2012,53,48,5,0.9056603773584906,0.23643844515959303,12.53123759345843
original,preseason_wins_ge2_fail_closed,2013,53,48,5,0.9056603773584906,0.21945167853645342,11.630938962432031
original,preseason_wins_ge2_fail_closed,2014,53,48,5,0.9056603773584906,0.22128850762757385,11.728290904261414
original,preseason_wins_ge2_fail_closed,2015,55,50,5,0.9090909090909091,0.2284431790309887,12.564374846704379
original,preseason_wins_ge2_fail_closed,2016,54,49,5,0.9074074074074074,0.23072787182147897,12.459305078359865
original,preseason_wins_ge2_fail_closed,2017,54,50,4,0.9259259259259259,0.25641071849197167,13.84617879856647
original,preseason_wins_ge2_fail_closed,2018,54,50,4,0.9259259259259259,0.24910731832243063,13.451795189411254
original,preseason_wins_ge2_fail_closed,2019,54,49,5,0.9074074074074074,0.23146778554695593,12.49926041953562
