variant,n,wins,losses,win_pct,roi,holdout_n,holdout_win_pct,holdout_roi,recent3_n,recent3_win_pct,recent3_roi,positive_season_ratio
M1_original_baseline,91,75,16,0.8241758241758241,0.15950524960911766,32,0.8125,0.1415179958874123,18,0.8333333333333334,0.16643241371521822,0.7222222222222222
M1_original_preseason_fail_closed,64,59,5,0.921875,0.2521476816236322,19,0.9473684210526315,0.31867141283457506,11,0.9090909090909091,0.2477160300866623,0.875
M1_original_preseason_plus_enriched_veto,49,46,3,0.9387755102040817,0.28365349771254333,15,0.9333333333333333,0.2787280669741111,8,0.875,0.17015557166758488,0.8461538461538461
M1_only_preseason,16,14,2,0.875,0.28007215339059244,4,1.0,0.4041061113799138,2,1.0,0.47474747474747475,0.8333333333333334
M1_only_preseason_plus_enriched_veto,12,11,1,0.9166666666666666,0.37720101869287054,4,1.0,0.4041061113799138,2,1.0,0.47474747474747475,0.75
M2_stricter_baseline,64,55,9,0.859375,0.17164793281645835,23,0.8260869565217391,0.1236753753002162,15,0.8,0.06308589982526523,0.7647058823529411
M2_stricter_preseason_fail_closed,48,45,3,0.9375,0.24283952436797884,15,0.9333333333333333,0.295888826555818,9,0.8888888888888888,0.19726459793981505,0.8571428571428571
M1_preseason_prior_record_ge500,58,54,4,0.9310344827586207,0.24552000029938986,15,1.0,0.36777119581646445,8,1.0,0.3098856356452549,0.9375
M1_preseason_prior_record_winning,47,44,3,0.9361702127659575,0.24186275872293556,11,1.0,0.3276197464437188,7,1.0,0.31213820544331655,0.8571428571428571
M1_enriched_prior_record_ge500,45,43,2,0.9555555555555556,0.29136609360320925,12,1.0,0.36528940322853737,6,1.0,0.30936567804836235,0.9230769230769231
M2_preseason_prior_record_ge500,46,44,2,0.9565217391304348,0.2590338354113531,13,1.0,0.36135320443050223,7,1.0,0.29066294867394216,0.9285714285714286
M2_preseason_prior_record_winning,39,37,2,0.9487179487179487,0.2357191798169322,10,1.0,0.31593727664364624,6,1.0,0.29008716560979525,0.9166666666666666
